How to create contour,in Grid object -> RMB - > Create contour. Show how to modify paramters.
How to create contour from t-surface,in T-surface object -> RMB -> Create Contour. Over related object
How to modify culture display properties,in Culture object -> RMB -> Culture properties
How to display markers on Basemap,in Well object -> RMB -> Properties -> markers over well
How to modify culture color,In Culture -> RMB -> Properties-> Change Definition from Database to User defined to modify the color
How to fill contour,Create new contour with toggle on fill contours while option to create fill contours with color
How to create traverse,Use Menu toolbar -> General Line selection
How to calculate Volumetric,"Open and Select Grid and Polygon Name, Click on planimeter icon at right toolbar then select polygon using mouse-> MB3-> Volumetrics -> set Based as constant value -> Apply"
How to create contour?,Select Grid -> RMB on grid > select contour icon or Grid -> Create Contour ->  Set the parameter range and interval -> Apply
How to create proposed well?,"In Menu Edit > Create new Well -> Select well location using by moving mouse -> Click -> Click Continue -> WELL_NAME , WELL, Drilled Depth -> Next -> Done"
How to create well list from selected wells?,Select capture icon on the right toolbar > select wells > RMB on selected well > create well list
How to measure distance between wells,Using ruler at right toolbar in basemap then draw line to measure
How to open Fault Outline?,In Menu File > open interpretation > select fault outline
How to set projection distance,Under Customize Menu -> Preferences -> Wells -> Projection Distance
How to display Marker?,Properties > select markers
Maintenance mode on,Please ask Epos admin to swtich off maintenance mode
How to open another user session,In Paradigm Session Manager > File > Load Session -> Select Other user session
How to open session,In Paradigm Session Manager > File -> Load Session
How to save session,In Paradigm Session Manager > File > Save Session
can't open sesion manager,interemittent issue connect to pns server
Session lock,PNS issue - System Issue
Slow performance on Linux,"Possible cause : HP Velocity, turning off this feature can solve this issue"
Failed to start Epos,"Check  the script, error log and remote storage issue"
Can't launch paradigm session manager,In Linux Terminal -> type command /util/scripts/app-run/mulai_epos regi
"Getting Error ""Fatal Error: Cannot create CSS Manager""",Exit Session Manager without save sessing then relaunch Session Manager
How to open project?,Paradigm Session Manager - Menu > File > open project
How to save session?,Paradigm Session Manager - Menu > File -> Save Session As.
How to start Epos ,"Show Documentation on how to start Epos, ( mulai_epos did not work. Use complete path, as probably related datapath not added yet into PATH variable)"
How to create cross-section,Command -> Cross-section -> New -> Create from polyline
How to see histogram inside related polygon,"Create Region based on closed polygon. And display histogram, based on this Region"
How to export gocad object,In Menu File -> Export -> GOCAD ASCII
How to open wells from SKUA,In Menu File -> Open wells -> Select related well list
How to save SKUA model to epos,In Menu File -> Save SKUA model.
How to create region based on closed polygon,In Object -> Region -> Create Inside Closed Polygon. Apply to related pointset.
How to create well plan in SKUA,Show how to use SKUA-CVX well planning
How to avoid crossing surface between top and bottom,"Trasnfer Z of top surface to bottom, use , script if (Z<Ztop) { Z = Ztop-3;}. Number 3 is constant thickness for crossed section"
How to extract Map Properties at Well Location,Using Macro from SKUA Application
How to activate global velocity model,From WDM -> Customize -> Well Domain Conversion … -> Use GVM.  For all wells.
How to copy checkshot from one well to other,"in WDM -> Select well -> Select Checkshot -> Save as to -> select other well -> set name -> apply   (If to many lines, recommend to import it using ASCII Import/export )"
How to set marker priority,Select wells. RMB -> Create well list based on selected wells
How to update directional (and position )  survey ,"Tested localy, proporse to promote on Pilot dataset"
How to create well list,"Well Data Manager > Domain Conversion > Checshot tab, select Well that have checkshot you want to copy then use right mouse button to select ""Save As"" select your target well"
Working on Marker FPRO_CH priority,In Well Data Manager > Markers Tab > Markers Activity -> Marker Priority. Toggle on Apply Priority and  set Priority Marker
